id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,,,
13840,,,,? ,2011,,??,,,???????3????????????????,36.228054,,http://loca.ash.jp/info/2011/m2011_gaku.htm,,,,,,,,
13841,,,,? ,2011,,??,,,??????????????????,35.5492574,138.8091958,http://loca.ash.jp/info/2011/m2011_gaku.htm,,,,,,,,
13842,,,,? ,2011,,??,,,???????????????????????,36.702075,137.832235,http://loca.ash.jp/info/2011/m2011_gaku.htm,,,,,,,,
13843,,,,????? ,2011 ??,,,,,×???,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13844,,,,????? ,2011 ??,,,,,?????????????,35.328658,139.34751,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13845,,,,????? ,2011 ??,,,,,????????1???????,35.7164917,139.7176174,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13846,,,,????? ,2011 ??,,,,,×???????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13847,,,,????? ,2011 ??,,,,,×??????????????????????????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13848,,,,????? ,2011 ??,,,,,×?????????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13849,,,,????? ,2011 ??,,,,,?????????1???????,35.6207884,139.7473401,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13850,,,,????? ,2011 ??,,,,,????????????????,34.6845807,135.5263493,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13851,,,,????? ,2011 ??,,,,,???????????2??????21,34.6927405,135.5314592,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13852,,,,????? ,2011 ??,,,,,×?????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13853,,,,????? ,2011 ??,,,,,×?????????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13854,,,,????? ,2011 ??,,,,,???????3???????????????,35.637337,139.752066,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13855,,,,????? ,2011 ??,,,,,×????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13856,,,,????? ,2011 ??,,,,,????????????????????????,35.8850135,138.2702285,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13857,,,,????? ,2011 ??,,,,,??????????????? ??????,35.5819276,140.3918465,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13858,,,,????? ,2011 ??,,,,,?????????3????????,35.7605281,139.837666,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13859,,,,????? ,2011 ??,,,,,??????????????1?????????????????,35.5837153,139.5539602,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13860,,,,????? ,2011 ??,,,,,×??????? ???????????????????????????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13861,,,,????? ,2011 ??,,,,,???????????????28??,34.6590099,133.9384415,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13862,,,,????? ,2011 ??,,,,,????????????????,34.6050869,133.9862084,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13863,,,,????? ,2011 ??,,,,,?????????????????,34.4628101,134.3173529,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13864,,,,????? ,2011 ??,,,,,?????????????????,34.4863888,134.3142115,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13865,,,,????? ,2011 ??,,,,,???????????????,34.486006,134.314885,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13866,,,,????? ,2011 ??,,,,,??????????????????,34.5156402,134.3006589,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13867,,,,????? ,2011 ??,,,,,???????????????,34.486006,134.314885,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13868,,,,????? ,2011 ??,,,,,×????????????????????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13869,,,,????? ,2011 ??,,,,,???????????????????,34.4615951,134.3367467,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13870,,,,????? ,2011 ??,,,,,???????????????,34.5037167,134.2392972,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13871,,,,????? ,2011 ??,,,,,??????????????????????,34.5034431,134.239479,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13872,,,,????? ,2011 ??,,,,,????????????????,34.489333,134.223869,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13873,,,,????? ,2011 ??,,,,,????????????????,34.4865126,134.3143224,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13874,,,,????? ,2011 ??,,,,,????????????????,34.4704732,134.1419391,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13875,,,,????? ,2011 ??,,,,,??????????????????,34.5040932,134.239404,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13876,,,,????? ,2011 ??,,,,,×?????????????????????,,,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13877,,,,????? ,2011 ??,,,,,?????????????????????, 34.503541,134.248099,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13878,,,,????? ,2011 ??,,,,,??????????????????,34.543444,134.3428525,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13879,,,,????? ,2011 ??,,,,,??????????????,34.5420148,134.3432269,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13880,,,,????? ,2011 ??,,,,,?????????????????????????,34.542817,134.3442352,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13881,,,,????? ,2011 ??,,,,,??????????????????????,34.5424659,134.34385,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13882,,,,????? ,2011 ??,,,,,???????????????,34.483337,134.186517,http://loca.ash.jp/info/2011/m2011_8kame.htm,,,,,,,,
13883,,,,???TRICK3 ,2010,,??,,,???????????????????????????????,35.967724,140.066998,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13884,,,,???TRICK3 ,2010,,??,,,????????4?????????,35.6208078,139.7239223,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13885,,,,???TRICK3 ,2010,,??,,,????????2???????,35.7153783,139.7939645,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13886,,,,???TRICK3 ,2010,,??,,,?????????5???????????,35.784444,139.841481,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13887,,,,???TRICK3 ,2010,,??,,,?????????8???????,35.7462816,139.7830129,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13888,,,,???TRICK3 ,2010,,??,,,??????????????,36.4038482,139.5368576,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13889,,,,???TRICK3 ,2010,,??,,,????????????,36.404982,139.533983,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13890,,,,???TRICK3 ,2010,,??,,,?????????????????,36.3303771,139.6542522,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13891,,,,???TRICK3 ,2010,,??,,,?????????????,36.4080687,139.5346041,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13892,,,,???TRICK3 ,2010,,??,,,???????????????????,36.9237212,139.9329629,http://loca.ash.jp/info/2010/m2010_trick.htm,,,,,,,,
13893,,,,??????? ,2010,,??????????????,,,"????????????????????????????
",26.713745,128.014698,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13894,,,,??????? ,2010,,??????????????,,,????????????????,26.702619,127.932935,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13895,,,,??????? ,2010,,??????????????,,,"?????????????
","
26.176314",127.775682,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13896,,,,??????? ,2010,,??????????????,,,????????????????,26.387038,127.735587,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13897,,,,??????? ,2010,,??????????????,,,????????1???????,26.2123919,127.6808124,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13898,,,,??????? ,2010,,??????????????,,,??????????????????????,26.189203,127.810042,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13899,,,,??????? ,2010,,??????????????,,,?????????????????????,26.1791247,127.826873,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13900,,,,??????? ,2010,,??????????????,,,???????????????????,26.1667342,127.8297204,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13901,,,,??????? ,2010,,??????????????,,,"????????????????
",26.190251,127.813106,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13902,,,,??????? ,2010,,??????????????,,,??????????2?????????,26.2626263,127.7542791,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13903,,,,??????? ,2010,,??????????????,,,????????1?????????,26.2076885,127.6936104,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13904,,,,??????? ,2010,,??????????????,,,????????2??????????????????????,26.2090268,127.6804049,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13905,,,,??????? ,2010,,??????????????,,,????????????????????????,26.408831,127.715538,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13906,,,,??????? ,2010,,??????????????,,,?????????????????,26.3915916,127.7232452,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13907,,,,??????? ,2010,,??????????????,,,????????3???????,26.2162977,127.6906708,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13908,,,,??????? ,2010,,??????????????,,,????????3????????,26.2153419,127.690119,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13909,,,,??????? ,2010,,??????????????,,,"???????????????????????
",26.382849,127.728617,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13910,,,,??????? ,2010,,??????????????,,,???????????????????,26.6604928,127.8954727,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13911,,,,??????? ,2010,,??????????????,,,?????????????????,26.13377,127.7894341,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13912,,,,??????? ,2010,,??????????????,,,????????????,26.202719,127.6770515,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13913,,,,??????? ,2010,,??????????????,,,??????????????????,35.6306937,139.8738666,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13914,,,,??????? ,2010,,??????????????,,,??????????6?????????,35.6422453,139.8602956,http://loca.ash.jp/info/2010/m2010_tidakan.htm,,,,,,,,
13915,,,,SP ??? ,2010,,??,,,????????6?????????,35.6604638,139.7292487,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13916,,,,SP ??? ,2010,,??,,,????????6???????,35.6603327,139.728632,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13917,,,,SP ??? ,2010,,??,,,??????3????????????,35.6510474,139.7488229,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13918,,,,SP ??? ,2010,,??,,,???????????3??????????????,35.6942242,139.7603363,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13919,,,,SP ??? ,2010,,??,,,???????????3????????????,35.696012,139.752345,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13920,,,,SP ??? ,2010,,??,,,???????????3?????????????,35.691844,139.761054,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13921,,,,SP ??? ,2010,,??,,,????????1??????????????????,35.662092,139.705640,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13922,,,,SP ??? ,2010,,??,,,????????1?????????????,35.6628989,139.7599699,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13923,,,,SP ??? ,2010,,??,,,???????3?????????????,35.631661,139.730327,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13924,,,,SP ??? ,2010,,??,,,?????????4??????????,35.653257,139.737048,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13925,,,,SP ??? ,2010,,??,,,????????1?????????????,35.7411563,139.6687374,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13926,,,,SP ??? ,2010,,??,,,??????????2??????,35.6767739,139.7523346,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13927,,,,SP ??? ,2010,,??,,,?????????1???????????????,35.7103853,139.7225569,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13928,,,,SP ??? ,2010,,??,,,???????????????2????????????,35.5881934,139.52932,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13929,,,,SP ??? ,2010,,??,,,???????????????2??????,35.589613,139.531910,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13930,,,,SP ??? ,2010,,??,,,??????????????????,35.4473052,139.6442249,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13931,,,,SP ??? ,2010,,??,,,?????????????????,35.6642695,139.5271508,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13932,,,,SP ??? ,2010,,??,,,?????????3????????,35.6292812,139.6376775,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13933,,,,SP ??? ,2010,,??,,,?????????????2????????????,35.529184,139.712872,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13934,,,,SP ??? ,2010,,??,,,??????????1????????????????,36.0348215,139.4027951,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13935,,,,SP ??? ,2010,,??,,,????????????????????,36.078606,140.107801,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13936,,,,SP ??? ,2010,,??,,,????????3???????????????????,35.6678285,139.6791763,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13937,,,,SP ??? ,2010,,??,,,????????1???????????,35.7036989,139.7566919,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13938,,,,SP ??? ,2010,,??,,,??????????4???JR?????????,35.680954,139.710362,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13939,,,,SP ??? ,2010,,??,,,???????1???????,35.667319,139.7414522,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13940,,,,SP ??? ,2010,,??,,,????????3???????????????????????,35.662527,139.733858,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13941,,,,SP ??? ,2010,,??,,,????????1??????????????,35.664589,139.741815,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13942,,,,SP ??? ,2010,,??,,,????????1?????????????????,35.6653669,139.740275,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13943,,,,SP ??? ,2010,,??,,,????????3??????????????3?????????,35.6540191,139.7791845,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13944,,,,SP ??? ,2010,,??,,,????????4?????,35.6527636,139.7794032,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13945,,,,SP ??? ,2010,,??,,,??????????3??????????,35.673287,139.749387,http://loca.ash.jp/info/2010/m2010_spyabou.htm,,,,,,,,
13946,,,,?????? ,2010,,??,,,????????6???????,35.6603327,139.728632,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13947,,,,?????? ,2010,,??,,,??????????????????,33.49645,133.57185,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13948,,,,?????? ,2010,,??,,,?????????????????????,33.5677728,133.2560391,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13949,,,,?????? ,2010,,??,,,????????????????????,33.5639772,133.5264353,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13950,,,,?????? ,2010,,??,,,"?????????1??????
",33.560735,133.531496,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13951,,,,?????? ,2010,,??,,,???????????1???????,33.5600493,133.5427156,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13952,,,,?????? ,2010,,??,,,???????????2????????,33.5604757,133.5376642,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13953,,,,?????? ,2010,,??,,,?????????????????,33.4956295,133.5746469,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13954,,,,?????? ,2010,,??,,,???????????3???????????,33.564111,133.543408,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13955,,,,?????? ,2010,,??,,,????????6???????,35.6603327,139.728632,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13956,,,,?????? ,2010,,??,,,????????1??????????????,35.6744488,139.7196991,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13957,,,,?????? ,2010,,??,,,?????????2???JR??????,33.5672834,133.5435217,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13958,,,,?????? ,2010,,??,,,????????????1?????34??,33.559641,133.542960,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13959,,,,?????? ,2010,,??,,,×???,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13960,,,,?????? ,2010,,??,,,×?????????????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13961,,,,?????? ,2010,,??,,,?????????1?????????,33.5556719,133.5342919,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13962,,,,?????? ,2010,,??,,,????????????,33.5544905,133.5429638,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13963,,,,?????? ,2010,,??,,,??????????????,33.4260363,133.4507914,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13964,,,,?????? ,2010,,??,,,×?????????????????????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13965,,,,?????? ,2010,,??,,,"
?????????2?????????????",33.561388,133.536589,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13966,,,,?????? ,2010,,??,,,???????????,33.4971364,133.5749275,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13967,,,,?????? ,2010,,??,,,?????????4?????????,33.5446753,133.5499271,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13968,,,,?????? ,2010,,??,,,?????????4???TACO,33.5659524,133.5527705,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13969,,,,?????? ,2010,,??,,,???????????1????????,33.559912,133.542666,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13970,,,,?????? ,2010,,??,,,×?????????????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13971,,,,?????? ,2010,,??,,,???????????,33.497067,133.574862,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13972,,,,?????? ,2010,,??,,,×?????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13973,,,,?????? ,2010,,??,,,????????????????,33.5046898,133.530179,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13974,,,,?????? ,2010,,??,,,?????????2????????,33.5606173,133.5357171,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13975,,,,?????? ,2010,,??,,,×???????????????????????????????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13976,,,,?????? ,2010,,??,,,???????????????,33.5531438,133.5060297,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13977,,,,?????? ,2010,,??,,,???????????????????,33.5172717,133.8039811,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13978,,,,?????? ,2010,,??,,,????????????,33.5585249,133.5040542,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13979,,,,?????? ,2010,,??,,,×??? ????? ???? ???????????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13980,,,,?????? ,2010,,??,,,?????????1??????,33.5607925,133.5314891,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13981,,,,?????? ,2010,,??,,,×??????????????????????,,,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13982,,,,?????? ,2010,,??,,,???????????????,33.5531438,133.5060297,http://loca.ash.jp/info/2010/m2010_odorunatu.htm,,,,,,,,
13983,,,,?????? ????????? ,2010,,??,,,???????3????????????,35.6453697,139.7569881,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13984,,,,?????? ????????? ,2010,,??,,,????????2??????????,35.6575914,139.814391,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13985,,,,?????? ????????? ,2010,,??,,,"????????2???the SOHO
",35.618250,139.775424,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13986,,,,?????? ????????? ,2010,,??,,,????????1???????,35.642061,139.7870778,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13987,,,,?????? ????????? ,2010,,??,,,?????????2?????????????,35.8025306,139.8606934,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13988,,,,?????? ????????? ,2010,,??,,,?????????3??????????,35.634937,139.834693,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13989,,,,?????? ????????? ,2010,,??,,,???????1???????????????????,35.6365639,139.7631443,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13990,,,,?????? ????????? ,2010,,??,,,????????2???????????24?????,35.6175792,139.7770358,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13991,,,,?????? ????????? ,2010,,??,,,?????????????????,35.3247293,139.6235499,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13992,,,,?????? ????????? ,2010,,??,,,??????????????3??????????????????,35.558411,139.395272,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13993,,,,?????? ????????? ,2010,,??,,,?????????????????????????????????,36.3021481,139.3054183,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13994,,,,?????? ????????? ,2010,,??,,,????????3???????????,35.659253,139.8136857,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13995,,,,?????? ????????? ,2010,,??,,,??????????3????????2??,35.7026128,139.7706592,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13996,,,,?????? ????????? ,2010,,??,,,×??????????????????????????????,,,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13997,,,,?????? ????????? ,2010,,??,,,??????????4??????UDX,35.7005247,139.7725077,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13998,,,,?????? ????????? ,2010,,??,,,??????????2???????????????,35.696482,139.701185,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
13999,,,,?????? ????????? ,2010,,??,,,????????2??????????,35.6189154,139.7737849,http://loca.ash.jp/info/2010/m2010_odoru.htm,,,,,,,,
14000,,,,???? ,2010,,??,,,?????????????????,36.307942,139.593932,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14001,,,,???? ,2010,,??,,,??????????????,36.341213,139.441564,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14002,,,,???? ,2010,,??,,,?????????2?????????,36.3341042,139.4578661,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14003,,,,???? ,2010,,??,,,??????????????,36.336811,139.448293,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14004,,,,???? ,2010,,??,,,?????????3?????,36.38304,139.3187364,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14005,,,,???? ,2010,,??,,,??????????????????,36.3568095,139.3917826,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14006,,,,???? ,2010,,??,,,????????1??????,36.33789,139.435581,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14007,,,,???? ,2010,,??,,,?????????????,36.4120586,139.3384453,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14008,,,,???? ,2010,,??,,,?????????????,36.337175,139.446952,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14009,,,,???? ,2010,,??,,,????????????,36.3604342,139.3987068,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14010,,,,???? ,2010,,??,,,?????????????????????,36.331720,139.448605,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14011,,,,???? ,2010,,??,,,????????2???????,36.3364042,139.434865,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14012,,,,???? ,2010,,??,,,×????????????????????????,,,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14013,,,,???? ,2010,,??,,,??????????Honeys???????????,36.3348781,139.4775226,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14014,,,,???? ,2010,,??,,,?????????2????????????????,36.4139831,139.3335812,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14015,,,,???? ,2010,,??,,,????????2???????,36.3364042,139.434865,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14016,,,,???? ,2010,,??,,,???????????????,36.3250598,139.0058473,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14017,,,,???? ,2010,,??,,,?????????????????????,36.331080,139.447618,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14018,,,,???? ,2010,,??,,,????????1????????,36.3401513,139.4496984,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14019,,,,???? ,2010,,??,,,????????2???????,36.3364042,139.434865,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14020,,,,???? ,2010,,??,,,?????????????????,36.307942,139.593932,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14021,,,,???? ,2010,,??,,,????????2???????,36.3374677,139.4349768,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14022,,,,???? ,2010,,??,,,?????????3?????,36.38304,139.3187364,http://loca.ash.jp/info/2010/m2010_kimini.htm,,,,,,,,
14023,,,,???????? ,2010,,????????,,,×????????????????????????,,,http://loca.ash.jp/info/2010/m2010_chonmage.htm,,,,,,,,
14024,,,,???????? ,2010,,????????,,,????????2?????????????,35.7887408,139.8377107,http://loca.ash.jp/info/2010/m2010_chonmage.htm,,,,,,,,
14025,,,,???????? ,2010,,????????,,,????????2?????????,35.7885844,139.8367067,http://loca.ash.jp/info/2010/m2010_chonmage.htm,,,,,,,,
14026,,,,???????? ,2010,,????????,,,??????3?????????????,35.6523964,139.7472609,http://loca.ash.jp/info/2010/m2010_chonmage.htm,,,,,,,,
14027,,,,???????? ,2010,,????????,,,????????6???????????,35.7791669,139.7695918,http://loca.ash.jp/info/2010/m2010_chonmage.htm,,,,,,,,
14028,,,,???????? ,2010,,????????,,,????????1????????????,35.788707,139.840041,http://loca.ash.jp/info/2010/m2010_chonmage.htm,,,,,,,,
